% Edge sensor logfile normalized 'log_20240202_161748.204/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1706887070.8646 0 0 0 0 0 0 0 0  0.0000
1706887070.8732 3 0 0 0 0 0 6 1  0.0000
1706887070.8808 1 0 1 3 0 0 3 3  0.0000
1706887070.8882 0 4 0 0 2 0 6 0  0.0000
1706887070.8970 0 0 0 0 0 0 5 3  0.0000
1706887070.9049 0 0 0 0 0 1 2 4  0.0000
1706887070.9122 0 0 0 0 0 0 0 0  0.0000
1706887070.9201 0 0 0 6 2 2 0 0  0.0000
1706887070.9283 0 0 0 0 0 0 0 0  0.0000
1706887070.9368 1 0 0 0 0 0 1 3  0.0000
1706887070.9447 0 0 2 2 2 3 3 8  0.0000
1706887070.9525 1 4 3 0 4 4 0 0  0.0000
1706887070.9609 0 0 1 0 0 0 0 0  0.0000
1706887070.9686 0 0 2 3 3 1 4 0  0.0000
1706887070.9770 0 3 2 3 1 5 0 1  0.0000
1706887070.9844 0 0 0 0 0 0 4 0  0.0000
1706887070.9923 0 1 4 11 5 0 0 0  0.0000
1706887071.0002 0 3 4 2 0 0 0 0  0.0000
1706887071.0086 0 0 0 0 0 0 0 0  0.0000
1706887071.0162 1 3 0 0 0 0 0 0  0.0000
1706887071.0247 7 3 3 0 0 1 3 0  0.0000
1706887071.0321 1 3 3 0 0 0 0 0  0.0000
1706887071.0410 3 1 5 2 2 3 2 0  0.0000
1706887071.0489 5 1 0 0 0 0 3 0  0.0000
1706887071.0571 0 0 0 0 0 5 3 2  0.0000
1706887071.0649 0 0 0 2 0 1 0 0  0.0000
1706887071.0724 4 5 4 0 0 0 0 0  0.0000
1706887071.0809 1 2 0 0 0 0 0 1  0.0000
1706887071.0887 1 0 0 0 0 10 7 0  0.0000
1706887071.0965 0 0 0 0 4 7 2 0  0.0000
1706887071.1047 0 0 0 0 0 0 0 0  0.0000
1706887071.1126 4 0 2 0 0 10 8 4  0.0000
1706887071.1204 0 0 0 0 1 0 0 0  0.0000
1706887071.1284 0 0 0 0 0 2 7 0  0.0000
1706887071.1363 0 0 4 1 2 0 0 0  0.0000
1706887071.1441 0 0 0 0 0 0 0 0  0.0000
1706887071.1524 0 2 5 6 0 0 0 1  0.0000
1706887071.1602 1 0 0 1 4 0 3 6  0.0000
1706887071.1680 0 0 2 0 0 0 0 0  0.0000
1706887071.1761 0 2 3 3 0 0 0 0  0.0000
1706887071.1850 5 1 2 1 4 0 0 0  0.0000
1706887071.1926 0 0 0 0 0 0 0 0  0.0000
1706887071.2000 3 0 0 0 0 5 0 0  0.0000
1706887071.2089 1 4 1 4 4 5 4 0  0.0000
1706887071.2167 3 2 0 0 0 0 0 0  0.0000
1706887071.2248 6 2 0 0 0 0 0 0  0.0000
1706887071.2326 0 3 0 0 0 4 5 3  0.0000
1706887071.2402 2 2 0 2 0 0 0 0  0.0000
1706887071.2486 1 0 1 0 0 0 0 0  0.0000
1706887071.2564 2 0 0 0 0 0 4 1  0.0000
1706887071.2649 0 0 0 0 0 4 3 0  0.0000
1706887071.2730 0 0 0 0 0 5 0 0  0.0000
1706887071.2808 0 0 1 0 0 1 0 0  0.0000
1706887071.2884 0 0 0 0 0 0 0 0  0.0000
1706887071.2969 0 0 1 0 0 0 3 0  0.0000
1706887071.3047 1 3 0 0 4 5 2 0  0.0000
1706887071.3125 0 0 2 6 2 0 3 0  0.0000
1706887071.3210 3 0 0 0 0 2 0 1  0.0000
1706887071.3281 3 0 0 0 0 1 7 1  0.0000
1706887071.3371 0 0 0 0 3 5 4 5  0.0000
1706887071.3445 0 0 0 1 0 0 0 0  0.0000
1706887071.3523 0 3 7 2 0 0 1 0  0.0000
1706887071.3602 2 0 0 0 0 0 0 0  0.0000
1706887071.3686 0 0 1 0 0 1 0 0  0.0000
1706887071.3768 2 2 5 0 3 1 0 0  0.0000
1706887071.3847 3 4 3 5 0 0 0 0  0.0000
1706887071.3921 0 5 9 0 0 0 0 0  0.0000
1706887071.4010 0 6 3 1 0 0 3 4  0.0000
1706887071.4088 1 0 0 0 0 0 0 5  0.0000
1706887071.4171 5 0 0 0 0 1 0 0  0.0000
1706887071.4245 4 6 5 2 0 5 0 4  0.0000
1706887071.4323 3 0 0 0 0 2 0 0  0.0000
1706887071.4408 0 0 0 0 0 7 6 0  0.0000
1706887071.4486 2 3 0 0 1 3 1 2  0.0000
1706887071.4564 0 2 0 0 7 0 0 0  0.0000
1706887071.4646 2 0 0 0 0 0 0 0  0.0000
1706887071.4731 3 2 2 3 2 5 8 3  0.0000
1706887071.4810 0 0 0 4 5 4 0 0  0.0000
1706887071.4884 0 0 3 7 1 0 3 4  0.0000
1706887071.4961 0 0 0 0 0 0 0 0  0.0000
1706887071.5040 0 0 0 0 0 3 0 0  0.0000
1706887071.5124 0 0 0 3 5 3 0 0  0.0000
1706887071.5203 4 1 6 2 9 6 1 0  0.0000
1706887071.5287 0 0 3 0 0 0 0 0  0.0000
1706887071.5361 5 7 6 9 1 2 0 0  0.0000
1706887071.5450 0 1 2 6 0 0 4 0  0.0000
1706887071.5527 0 0 5 4 4 0 0 0  0.0000
1706887071.5601 5 9 2 5 0 0 0 0  0.0000
1706887071.5680 2 3 6 0 0 0 0 0  0.0000
1706887071.5766 3 0 0 0 0 0 5 0  0.0000
1706887071.5841 2 4 0 0 4 0 1 1  0.0000
1706887071.5930 2 6 7 0 0 0 0 0  0.0000
1706887071.6006 4 0 1 0 0 1 0 0  0.0000
1706887071.6090 0 2 0 0 0 0 4 7  0.0000
1706887071.6169 0 0 0 1 1 6 2 0  0.0000
1706887071.6243 0 0 0 0 8 0 0 0  0.0000
1706887071.6328 0 0 1 0 0 0 0 0  0.0000
1706887071.6407 3 0 0 1 3 0 0 0  0.0000
1706887071.6483 0 0 0 0 0 0 0 0  0.0000
1706887071.6569 0 1 0 0 2 11 0 0  0.0000
1706887071.6647 0 1 3 6 3 0 0 0  0.0000
1706887071.6722 5 4 0 0 0 0 0 0  0.0000
1706887071.6807 1 0 0 0 0 0 0 0  0.0000
1706887071.6884 3 3 6 1 3 0 0 0  0.0000
1706887071.6962 0 0 2 0 0 0 0 0  0.0000
1706887071.7048 2 7 4 2 0 0 0 0  0.0000
1706887071.7127 1 0 0 0 0 0 0 0  0.0000
1706887071.7207 0 0 0 0 0 0 0 0  0.0000
1706887071.7287 0 3 4 10 0 0 0 0  0.0000
1706887071.7364 2 2 0 0 0 0 0 0  0.0000
1706887071.7444 1 4 0 0 0 0 0 0  0.0000
1706887071.7529 1 0 0 0 0 0 0 0  0.0000
1706887071.7608 0 0 0 0 0 2 0 0  0.0000
1706887071.7683 5 1 0 0 0 0 0 0  0.0000
1706887071.7772 5 3 0 0 0 0 0 0  0.0000
1706887071.7841 0 0 0 0 0 0 0 0  0.0000
1706887071.7921 0 0 0 0 0 0 0 0  0.0000
1706887071.8007 0 0 0 0 0 0 2 0  0.0000
1706887071.8086 0 0 0 0 0 0 0 0  0.0000
1706887071.8165 0 0 0 0 0 0 0 0  0.0000
1706887071.8244 0 0 0 0 0 0 0 0  0.0000
1706887071.8324 0 0 0 0 0 0 0 0  0.0000
1706887071.8403 0 0 1 3 1 0 0 0  0.0000
1706887071.8489 0 0 0 0 0 0 0 0  0.0000
1706887071.8568 0 0 0 0 0 0 0 0  0.0000
1706887071.8648 0 0 0 0 0 0 0 0  0.0000
1706887071.8727 0 0 0 0 0 0 0 0  0.0000
1706887071.8805 0 1 0 0 0 0 0 1  0.0000
1706887071.8883 0 0 0 0 0 0 0 0  0.0000
1706887071.8968 0 0 0 0 0 0 0 0  0.0000
1706887071.9047 0 0 0 0 0 0 0 0  0.0000
1706887071.9124 0 0 0 0 0 0 0 12  0.0000
1706887071.9209 0 1 2 3 0 3 7 5  0.0000
1706887071.9283 0 0 0 0 0 0 0 0  0.0000
1706887071.9362 0 0 0 0 0 0 0 0  0.0000
1706887071.9447 0 0 0 0 0 0 5 11  0.0000
1706887071.9525 0 0 0 0 0 14 15 13  0.0000
1706887071.9602 0 0 0 0 6 5 8 4  0.0000
1706887071.9686 0 0 0 0 0 0 11 10  0.0000
1706887071.9760 0 0 0 0 0 0 13 14  0.0000
1706887071.9840 0 0 0 0 5 16 14 3  0.0000
1706887071.9925 0 0 0 18 21 15 4 2  0.0000
1706887072.0003 0 0 5 10 5 6 0 0  0.0000
1706887072.0091 0 0 0 0 0 10 3 3  0.0000
1706887072.0164 0 0 0 0 11 19 14 10  0.0000
1706887072.0249 0 0 2 20 20 10 6 0  0.0000
1706887072.0328 0 5 18 9 9 0 0 0  0.0000
1706887072.0402 1 10 6 3 0 0 1 2  0.0000
1706887072.0489 0 2 0 7 3 4 4 2  0.0000
1706887072.0567 0 0 0 12 14 7 4 14  0.0000
1706887072.0641 0 5 13 9 6 10 3 9  0.0000
1706887072.0726 15 22 8 0 0 0 0 0  0.0000
1706887072.0805 4 3 0 0 0 0 0 5  0.0000
1706887072.0889 0 10 16 8 0 5 3 0  0.0000
1706887072.0965 0 12 11 8 5 2 0 1  0.0000
1706887072.1043 13 11 4 3 4 3 0 0  0.0000
1706887072.1127 10 5 3 3 2 2 0 0  0.0000
1706887072.1206 1 0 0 0 0 2 5 6  0.0000
