% Edge sensor logfile log_20240202_162221.774/log_edge.txt
% 	Calib white 1000 1000 1000 1000 1000 1000 1000 1000
% 	Calib black 0 0 0 0 0 0 0 0
% 	White threshold (of 1000) 700 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1706887344.8637 0 0.000 0.000 0.0000
1706887344.8716 0 0.000 0.000 0.0000
1706887344.8802 0 0.000 0.000 0.0000
1706887344.8877 0 0.000 0.000 0.0000
1706887344.8957 0 0.000 0.000 0.0000
1706887344.9035 0 0.000 0.000 0.0000
1706887344.9112 0 0.000 0.000 0.0000
1706887344.9190 0 0.000 0.000 0.0000
1706887344.9274 0 0.000 0.000 0.0000
1706887344.9350 0 0.000 0.000 0.0000
1706887344.9429 0 0.000 0.000 0.0000
1706887344.9517 0 0.000 0.000 0.0000
1706887344.9594 0 0.000 0.000 0.0000
1706887344.9673 0 0.000 0.000 0.0000
1706887344.9763 0 0.000 0.000 0.0000
1706887344.9833 0 0.000 0.000 0.0000
1706887344.9912 0 0.000 0.000 0.0000
1706887345.0002 0 0.000 0.000 0.0000
1706887345.0068 0 0.000 0.000 0.0000
1706887345.0157 0 0.000 0.000 0.0000
1706887345.0234 0 0.000 0.000 0.0000
1706887345.0318 0 0.000 0.000 0.0000
1706887345.0396 0 0.000 0.000 0.0000
1706887345.0474 0 0.000 0.000 0.0000
1706887345.0552 0 0.000 0.000 0.0000
1706887345.0629 0 0.000 0.000 0.0000
1706887345.0716 0 0.000 0.000 0.0000
1706887345.0789 0 0.000 0.000 0.0000
1706887345.0868 0 0.000 0.000 0.0000
1706887345.0956 0 0.000 0.000 0.0000
1706887345.1033 0 0.000 0.000 0.0000
1706887345.1110 0 0.000 0.000 0.0000
1706887345.1200 0 0.000 0.000 0.0000
1706887345.1272 0 0.000 0.000 0.0000
1706887345.1352 0 0.000 0.000 0.0000
1706887345.1441 0 0.000 0.000 0.0000
1706887345.1517 0 0.000 0.000 0.0000
1706887345.1594 0 0.000 0.000 0.0000
1706887345.1684 0 0.000 0.000 0.0000
1706887345.1749 0 0.000 0.000 0.0000
1706887345.1835 0 0.000 0.000 0.0000
1706887345.1925 0 0.000 0.000 0.0000
1706887345.1992 0 0.000 0.000 0.0000
1706887345.2069 0 0.000 0.000 0.0000
1706887345.2157 0 0.000 0.000 0.0000
1706887345.2235 0 0.000 0.000 0.0000
1706887345.2309 0 0.000 0.000 0.0000
1706887345.2397 0 0.000 0.000 0.0000
1706887345.2472 0 0.000 0.000 0.0000
1706887345.2551 0 0.000 0.000 0.0000
1706887345.2641 0 0.000 0.000 0.0000
1706887345.2718 0 0.000 0.000 0.0000
1706887345.2793 0 0.000 0.000 0.0000
1706887345.2884 0 0.000 0.000 0.0000
1706887345.2958 0 0.000 0.000 0.0000
1706887345.3038 0 0.000 0.000 0.0000
1706887345.3115 0 0.000 0.000 0.0000
1706887345.3192 0 0.000 0.000 0.0000
1706887345.3276 0 0.000 0.000 0.0000
1706887345.3364 0 0.000 0.000 0.0000
1706887345.3428 0 0.000 0.000 0.0000
1706887345.3517 0 0.000 0.000 0.0000
1706887345.3596 0 0.000 0.000 0.0000
1706887345.3672 0 0.000 0.000 0.0000
1706887345.3752 0 0.000 0.000 0.0000
1706887345.3835 0 0.000 0.000 0.0000
1706887345.3912 0 0.000 0.000 0.0000
1706887345.3990 0 0.000 0.000 0.0000
1706887345.4078 0 0.000 0.000 0.0000
1706887345.4155 0 0.000 0.000 0.0000
1706887345.4234 0 0.000 0.000 0.0000
1706887345.4317 0 0.000 0.000 0.0000
1706887345.4394 0 0.000 0.000 0.0000
1706887345.4473 0 0.000 0.000 0.0000
1706887345.4563 0 0.000 0.000 0.0000
1706887345.4628 0 0.000 0.000 0.0000
1706887345.4717 0 0.000 0.000 0.0000
1706887345.4802 0 0.000 0.000 0.0000
1706887345.4868 0 0.000 0.000 0.0000
1706887345.4957 0 0.000 0.000 0.0000
1706887345.5035 0 0.000 0.000 0.0000
1706887345.5112 0 0.000 0.000 0.0000
1706887345.5189 0 0.000 0.000 0.0000
1706887345.5285 0 0.000 0.000 0.0000
1706887345.5351 0 0.000 0.000 0.0000
1706887345.5430 0 0.000 0.000 0.0000
1706887345.5518 0 0.000 0.000 0.0000
